game_id,season,week,home_team,away_team,pred_total,over_under,total_points,edge,bet_side,ou_result,pnl,result,wind_speed,temp_avg,is_dome,cumulative_pnl,running_roi
401643805,2024,7,Georgia State,Old Dominion,56.74384191688954,53.5,35.0,3.2438419168895365,over,under,-1.0,loss,7.6,63.25,0,19.54545454545453,0.08725649350649343
401636893,2024,7,BYU,Arizona,53.97792037988667,48.5,60.0,5.477920379886669,over,over,0.9090909090909091,win,5.5,67.7,0,20.45454545454544,0.09090909090909084
401643808,2024,7,Texas State,Arkansas State,62.15729277772641,66.0,50.0,-3.8427072222735887,under,under,0.9090909090909091,win,10.5,78.55000000000001,0,22.27272727272726,0.0981177412895474
401636896,2024,7,West Virginia,Iowa State,57.40977304030506,54.0,44.0,3.409773040305062,over,under,-1.0,loss,16.1,66.95,0,20.18181818181817,0.08736717827626914
401643804,2024,7,Georgia Southern,Marshall,62.440098443594295,58.0,47.0,4.4400984435942945,over,under,-1.0,loss,8.5,66.5,0,19.18181818181817,0.082680250783699
401636894,2024,7,Colorado,Kansas State,59.626695519311674,55.0,59.0,4.626695519311674,over,over,0.9090909090909091,win,5.5,56.3,0,19.09090909090908,0.08158508158508153
401641010,2024,8,New Mexico State,Louisiana Tech,51.94526690710688,48.5,63.0,3.445266907106877,over,over,0.9090909090909091,win,16.2,69.4,0,18.99999999999999,0.08050847457627114
401640983,2024,8,UTEP,Florida International,53.01650450855191,47.0,51.0,6.016504508551911,over,over,0.9090909090909091,win,16.0,68.35,0,19.9090909090909,0.08400460299194472
401643810,2024,8,Marshall,Georgia State,55.14396113214141,51.5,55.0,3.6439611321414134,over,over,0.9090909090909091,win,3.9,48.25,0,20.81818181818181,0.0874713521772345
401634768,2024,8,Virginia Tech,Boston College,52.617798859069566,47.5,63.0,5.117798859069566,over,over,0.9090909090909091,win,7.4,45.25,0,21.72727272727272,0.09090909090909087
401634769,2024,8,Duke,Florida State,47.82876522762631,43.0,39.0,4.828765227626313,over,under,-1.0,loss,8.2,54.2,0,20.72727272727272,0.08636363636363634
401636898,2024,8,BYU,Oklahoma State,57.5417409607629,53.0,73.0,4.541740960762901,over,over,0.9090909090909091,win,6.1,45.650000000000006,0,21.63636363636363,0.08977744247453788
401643735,2024,8,Nevada,Fresno State,56.67901951333759,50.0,45.0,6.679019513337593,over,under,-1.0,loss,5.1,48.650000000000006,0,20.63636363636363,0.08527422990232905
401628395,2024,8,Missouri,Auburn,53.76433632184856,49.5,38.0,4.26433632184856,over,under,-1.0,loss,7.5,58.7,0,19.63636363636363,0.08080808080808077
401636899,2024,8,Cincinnati,Arizona State,55.82436995934402,51.5,38.0,4.324369959344018,over,under,-1.0,loss,5.2,55.75,0,18.63636363636363,0.07637853949329357
401629034,2024,8,UConn,Wake Forest,52.46110054392394,55.5,43.0,-3.0388994560760594,under,under,0.9090909090909091,win,,,0,19.54545454545454,0.07977736549165118
401645346,2024,8,Army,East Carolina,50.85104531395763,54.5,73.0,-3.648954686042373,under,over,-1.0,loss,6.0,56.85,0,18.54545454545454,0.07538802660753878
401628524,2024,8,Rutgers,UCLA,49.02450543230895,42.5,67.0,6.524505432308949,over,over,0.9090909090909091,win,5.8,58.45,0,19.45454545454545,0.07876334192123664
401628519,2024,8,Indiana,Nebraska,52.24134902942043,48.5,63.0,3.7413490294204266,over,over,0.9090909090909091,win,5.5,55.8,0,20.36363636363636,0.08211143695014661
401645351,2024,8,Temple,Tulsa,54.77729262866867,51.0,30.0,3.7772926286686683,over,under,-1.0,loss,7.2,55.8,0,20.27272727272727,0.08109090909090907
401645345,2024,8,South Florida,UAB,59.98987175502615,55.5,60.0,4.489871755026151,over,over,0.9090909090909091,win,15.6,72.55,0,21.18181818181818,0.08438971387178558
401644751,2024,8,Northern Illinois,Toledo,49.718544828855045,43.0,19.0,6.718544828855045,over,under,-1.0,loss,9.6,58.05,0,22.0,0.08661417322834646
401643736,2024,8,Washington State,Hawai'i,59.833841474960046,55.5,52.0,4.333841474960046,over,under,-1.0,loss,10.0,57.5,0,21.0,0.08235294117647059
401644749,2024,8,Buffalo,Western Michigan,52.721032399323974,49.5,89.0,3.221032399323974,over,over,0.9090909090909091,win,7.5,50.05,0,21.90909090909091,0.08558238636363637
401628518,2024,8,Illinois,Michigan,47.445069568299296,44.0,28.0,3.445069568299296,over,under,-1.0,loss,6.9,55.349999999999994,0,20.90909090909091,0.08135833038556774
401643813,2024,8,Old Dominion,Texas State,57.092619065341374,60.5,38.0,-3.407380934658626,under,under,0.9090909090909091,win,12.1,58.650000000000006,0,21.81818181818182,0.08456659619450319
401628982,2024,8,Georgia Tech,Notre Dame,55.82923342013835,50.0,44.0,5.829233420138351,over,under,-1.0,loss,10.3,58.2,0,20.81818181818182,0.08037908037908038
401628521,2024,8,Maryland,USC,59.78223478549276,56.0,57.0,3.7822347854927614,over,over,0.9090909090909091,win,6.4,56.95,0,21.72727272727273,0.08356643356643358
401628394,2024,8,Mississippi State,Texas A&M,59.221382984017254,55.5,58.0,3.7213829840172536,over,over,0.9090909090909091,win,6.0,59.650000000000006,0,21.63636363636364,0.08258154059680779
401628392,2024,8,Arkansas,LSU,63.568571452983534,57.0,44.0,6.568571452983534,over,under,-1.0,loss,7.6,61.05,0,20.63636363636364,0.07846526097476669
401643814,2024,8,Southern Miss,Arkansas State,59.923027357718745,56.5,72.0,3.4230273577187447,over,over,0.9090909090909091,win,7.3,63.3,0,21.54545454545455,0.0816115702479339
401628520,2024,8,Michigan State,Iowa,43.04724263837073,39.5,52.0,3.547242638370733,over,over,0.9090909090909091,win,7.7,55.25,0,23.36363636363637,0.0878332194121668
