game_id,season,week,home_team,away_team,bet_side,bet_team,book_odds,model_wp,fair_book_prob,edge_prob,ev,won,home_win,pnl,result,cumulative_pnl,running_roi
401644773,2024,13,Toledo,Ohio,away,Ohio,110.0,0.5085347899540046,0.4572564612326044,0.0512783287214002,0.06792305890340966,1,0,1.1,win,-33.67421984990551,-0.07653231784069435
401645373,2024,13,UAB,Rice,home,UAB,205.0,0.3512384258116262,0.3158617532616159,0.03537667255001026,0.07127719872545968,1,1,2.05,win,-30.778141418532964,-0.06824421600561632
401636932,2024,13,Kansas,Colorado,home,Kansas,125.0,0.4781970502284565,0.42888402625820565,0.049313023970250836,0.07594336301402715,1,1,1.25,win,-35.47814141853297,-0.0767925138929285
401643763,2024,13,Nevada,Air Force,away,Air Force,150.0,0.4294994823737406,0.3859649122807018,0.043534570093038794,0.07374870593435146,1,0,1.5,win,-28.632308085199636,-0.06053342089894215
401636938,2024,14,Colorado,Oklahoma State,away,Oklahoma State,550.0,0.16610578521941988,0.14671814671814673,0.019387638501273147,0.0796876039262292,0,1,-1.0,loss,-26.532308085199634,-0.055275641844165904
401643845,2024,14,Georgia State,Coastal Carolina,home,Georgia State,100.0,0.5257835512236283,0.4782608695652174,0.04752268165841089,0.051567102447256596,0,0,-1.0,loss,-21.715954668846223,-0.043870615492618635
401643849,2024,14,Troy,Southern Miss,away,Southern Miss,600.0,0.15346933501485271,0.13636363636363635,0.01710569865121636,0.074285345103969,0,1,-1.0,loss,-22.715954668846223,-0.045798295703318996
401644779,2024,14,Northern Illinois,Central Michigan,away,Central Michigan,375.0,0.22280657587376163,0.2004008016032064,0.022405774270555234,0.058331235400367776,0,1,-1.0,loss,-26.50762133551289,-0.05290942382337902
401752670,2025,1,Kentucky,Toledo,away,Toledo,275.0,0.2854580614167923,0.2553191489361702,0.030138912480622115,0.07046773031297116,0,1,-1.0,loss,-38.41403217969653,-0.0706140297420892
401831583,2025,1,SMU,Arizona,home,SMU,125.0,0.4743163190916203,0.42888402625820565,0.045432292833414656,0.06721171795614567,1,1,1.25,win,-33.15389141179715,-0.05677036200650196
401756884,2025,2,Rice,Houston,home,Rice,390.0,0.2151100121514168,0.19431988041853515,0.02079013173288166,0.054039059541942325,0,0,-1.0,loss,-42.65389141179715,-0.07015442666414004
401754538,2025,4,Duke,NC State,away,NC State,110.0,0.510317796222565,0.4572564612326044,0.05306133498996063,0.0716673720673866,0,1,-1.0,loss,-46.15094210828465,-0.06877934740429903
