season,conference,team,offense,defense
2015,American Athletic,Houston,"{'overall': 0.25, 'passing': 0.39, 'rushing': 0.17, 'firstDown': -0.03, 'secondDown': 0.26, 'thirdDown': 0.89, 'cumulative': {'total': 274.5, 'passing': 177.1, 'rushing': 107.4}}","{'overall': 0.08, 'passing': 0.19, 'rushing': -0.04, 'firstDown': -0.09, 'secondDown': 0.05, 'thirdDown': 0.45, 'cumulative': {'total': 81.5, 'passing': 1021.7, 'rushing': -19.3}}"
2015,Sun Belt,Idaho,"{'overall': 0.13, 'passing': 0.15, 'rushing': 0.15, 'firstDown': 0, 'secondDown': 0.04, 'thirdDown': 0.54, 'cumulative': {'total': 115.3, 'passing': 70.58, 'rushing': 57.2}}","{'overall': 0.33, 'passing': 0.39, 'rushing': 0.31, 'firstDown': 0.22, 'secondDown': 0.41, 'thirdDown': 0.46, 'cumulative': {'total': 255.4, 'passing': 1132.6, 'rushing': 141.9}}"
2015,Big Ten,Illinois,"{'overall': 0.05, 'passing': 0.1, 'rushing': 0.01, 'firstDown': -0.08, 'secondDown': 0.09, 'thirdDown': 0.29, 'cumulative': {'total': 48.1, 'passing': 51.56, 'rushing': 2.4}}","{'overall': 0.06, 'passing': 0.07, 'rushing': 0.04, 'firstDown': -0.1, 'secondDown': 0.12, 'thirdDown': 0.25, 'cumulative': {'total': 50.9, 'passing': 295.5, 'rushing': 18.9}}"
2015,Big Ten,Indiana,"{'overall': 0.21, 'passing': 0.4, 'rushing': 0.09, 'firstDown': 0.16, 'secondDown': 0.25, 'thirdDown': 0.41, 'cumulative': {'total': 229.2, 'passing': 182.5, 'rushing': 52}}","{'overall': 0.21, 'passing': 0.27, 'rushing': 0.17, 'firstDown': -0.01, 'secondDown': 0.31, 'thirdDown': 0.64, 'cumulative': {'total': 220, 'passing': 1573.4, 'rushing': 76.3}}"
2015,Big Ten,Iowa,"{'overall': 0.19, 'passing': 0.31, 'rushing': 0.11, 'firstDown': 0.11, 'secondDown': 0.2, 'thirdDown': 0.39, 'cumulative': {'total': 185.4, 'passing': 123.75, 'rushing': 57.2}}","{'overall': 0.06, 'passing': 0.06, 'rushing': 0.07, 'firstDown': -0.05, 'secondDown': 0.01, 'thirdDown': 0.33, 'cumulative': {'total': 55.5, 'passing': 300, 'rushing': 30.6}}"
2015,Big 12,Iowa State,"{'overall': 0.12, 'passing': 0.13, 'rushing': 0.11, 'firstDown': 0.05, 'secondDown': -0.01, 'thirdDown': 0.46, 'cumulative': {'total': 106.2, 'passing': 60.14, 'rushing': 48.7}}","{'overall': 0.22, 'passing': 0.34, 'rushing': 0.11, 'firstDown': 0.14, 'secondDown': 0.08, 'thirdDown': 0.69, 'cumulative': {'total': 193.9, 'passing': 1454.7, 'rushing': 51.7}}"
2015,Big 12,Kansas,"{'overall': 0, 'passing': 0.06, 'rushing': -0.05, 'firstDown': -0.15, 'secondDown': -0.06, 'thirdDown': 0.49, 'cumulative': {'total': -1.8, 'passing': 28.4, 'rushing': -21.7}}","{'overall': 0.3, 'passing': 0.38, 'rushing': 0.27, 'firstDown': 0.26, 'secondDown': 0.34, 'thirdDown': 0.42, 'cumulative': {'total': 298.5, 'passing': 1607.3, 'rushing': 144.7}}"
2015,Big 12,Kansas State,"{'overall': 0.12, 'passing': 0.14, 'rushing': 0.12, 'firstDown': 0.02, 'secondDown': 0.08, 'thirdDown': 0.41, 'cumulative': {'total': 107.2, 'passing': 53.07, 'rushing': 60.7}}","{'overall': 0.22, 'passing': 0.33, 'rushing': 0.12, 'firstDown': 0.17, 'secondDown': 0.14, 'thirdDown': 0.58, 'cumulative': {'total': 212.2, 'passing': 1609.4, 'rushing': 55}}"
2015,Mid-American,Kent State,"{'overall': -0.08, 'passing': -0.01, 'rushing': -0.14, 'firstDown': -0.21, 'secondDown': 0.03, 'thirdDown': 0, 'cumulative': {'total': -56.2, 'passing': -2.76, 'rushing': -53}}","{'overall': 0.1, 'passing': 0.19, 'rushing': 0.05, 'firstDown': 0.01, 'secondDown': -0.05, 'thirdDown': 0.45, 'cumulative': {'total': 73.1, 'passing': 606.7, 'rushing': 17.6}}"
2015,SEC,Kentucky,"{'overall': 0.15, 'passing': 0.09, 'rushing': 0.22, 'firstDown': -0.06, 'secondDown': 0.12, 'thirdDown': 0.52, 'cumulative': {'total': 124.8, 'passing': 40.57, 'rushing': 86.2}}","{'overall': 0.12, 'passing': 0.17, 'rushing': 0.09, 'firstDown': 0.04, 'secondDown': 0.08, 'thirdDown': 0.36, 'cumulative': {'total': 102.3, 'passing': 610.9, 'rushing': 46.8}}"
