game_id,wind_speed,temp_avg,precipitation,is_dome
400938627,8.0,71.44999999999999,0.039,0
400944847,10.7,75.7,0.098,0
400934564,10.3,76.8,0.11,0
400934524,9.5,76.0,0.0,0
400941818,10.3,76.8,0.11,0
400938676,7.0,74.69999999999999,0.0,0
400937488,12.5,67.3,0.0,0
400933884,8.1,77.45,0.0,0
400933881,12.2,71.55,0.047,0
400935372,20.5,72.1,0.26,0
400945269,,,,0
400935373,11.7,64.25,0.0,0
400935292,8.3,52.0,0.004,0
400938631,16.8,72.7,0.0,0
400941816,16.5,67.9,1.11,0
400935289,12.0,47.099999999999994,0.382,0
400935291,11.4,49.8,0.004,0
400945270,10.5,49.599999999999994,0.0,0
400935293,7.1,52.05,0.016,0
400945271,0.0,68.0,0.0,1
400944851,7.1,78.45,0.004,0
400944852,7.9,78.44999999999999,0.004,0
400937493,0.0,68.0,0.0,1
400935294,10.4,64.15,0.0,0
400941821,6.8,67.30000000000001,0.047,0
400933891,7.8,76.05000000000001,0.0,0
400937497,7.2,65.2,0.0,0
400937495,5.4,68.7,0.0,0
400935379,9.9,70.5,0.0,0
400934527,18.8,60.15,0.571,0
400933892,5.5,70.1,0.0,0
400934529,7.5,67.4,0.0,0
400934567,5.4,66.4,0.051,0
400935378,19.3,70.4,0.051,0
400937494,10.3,69.3,0.0,0
400945272,18.9,47.75,0.0,0
400938634,7.0,69.25,0.0,0
400934530,18.2,67.75,0.646,0
400933889,9.8,80.6,0.0,0
400934526,20.4,76.35,0.272,0
400933890,10.8,75.25,0.004,0
400935382,15.0,60.85,1.087,0
400981508,8.4,78.1,0.512,0
400934528,10.3,78.9,0.0,0
400937496,5.8,68.6,0.0,0
400935377,5.8,66.0,0.02,0
400944995,10.1,65.4,0.0,0
400944996,7.7,62.85,0.028,0
400944997,12.8,68.2,0.008,0
400944998,12.5,58.65,0.803,0
400941823,14.1,75.3,0.0,0
400935298,9.0,47.4,0.0,0
400941822,17.9,80.1,0.0,0
400945276,5.1,37.900000000000006,0.142,0
400938632,11.0,69.8,0.004,0
400944853,,,,0
400944856,,,,0
400944855,8.9,74.55,0.0,0
400938635,9.3,74.1,0.004,0
400938633,,,,0
400938636,13.2,81.15,0.0,0
400941820,11.0,79.5,0.114,0
400944854,12.3,75.35,0.0,0
400933887,10.8,79.65,0.0,0
400938637,6.4,77.65,0.0,0
400933886,8.9,76.6,0.0,0
400941832,10.7,78.55,0.012,0
400933888,5.4,71.4,0.004,0
400935381,20.1,57.0,0.622,0
400935297,11.8,76.0,0.0,0
400935380,16.4,46.45,0.122,0
400935295,13.0,77.3,0.0,0
400945275,8.1,65.2,0.0,0
400945274,6.7,44.6,0.0,0
400945273,10.3,73.25,0.0,0
400935296,13.0,81.4,0.0,0
400935299,5.4,69.7,0.0,0
400945277,20.5,79.85,0.0,0
400944994,17.3,57.0,1.071,0
400944857,6.9,64.80000000000001,0.0,0
400941824,13.4,72.95,1.051,0
400938641,8.2,62.900000000000006,0.0,0
400938674,6.5,61.300000000000004,0.0,0
400945278,6.9,45.1,0.0,0
400945280,18.2,55.25,0.0,0
400935387,4.8,62.55,0.0,0
400935385,15.5,65.65,0.012,0
400941827,,,,0
400944999,9.9,64.15,0.0,0
400935388,16.1,65.75,0.0,0
400934535,16.3,79.6,0.035,0
400934568,6.2,64.5,0.0,0
400934531,18.3,68.7,0.0,0
400933897,16.7,70.65,0.071,0
400937500,11.1,74.0,0.0,0
400937499,6.9,64.55000000000001,0.0,0
400937498,5.7,63.4,0.0,0
400945002,6.0,61.8,0.0,0
400944860,9.2,62.5,0.0,0
400945003,10.1,64.1,0.0,0
400945004,9.0,62.6,0.0,0
400945000,8.1,61.300000000000004,0.0,0
400945001,12.4,63.650000000000006,0.0,0
400935383,11.2,64.6,0.0,0
400938892,,,,0
400935384,15.5,60.75,0.768,0
400933893,9.3,71.25,0.0,0
400937502,15.0,78.95,0.189,0
400937503,7.1,61.150000000000006,0.0,0
400941825,6.1,60.1,0.0,0
400935301,6.0,40.9,0.0,0
400944858,,,,0
400935302,7.6,64.7,0.0,0
400941826,7.6,63.0,0.0,0
400933896,11.5,70.7,0.0,0
400934534,26.6,65.65,0.213,0
400938639,19.7,79.55000000000001,0.181,0
400944859,12.9,72.95,0.028,0
400945281,0.0,68.0,0.0,1
400938638,6.5,62.849999999999994,0.0,0
400941829,15.8,78.19999999999999,0.083,0
400938640,15.2,74.80000000000001,0.13,0
400938642,12.6,79.0,0.02,0
400941828,6.2,66.4,0.0,0
400933895,12.1,71.2,0.004,0
400933894,15.8,69.7,0.035,0
400937501,9.2,62.5,0.0,0
400934578,14.1,65.05,0.0,0
400935386,5.6,56.5,0.0,0
400934532,15.0,64.94999999999999,1.047,0
400935300,7.2,60.55,0.0,0
400934533,14.3,67.05000000000001,1.484,0
400945279,14.4,53.85,0.008,0
