season,team,portal_talent_in,portal_talent_out,portal_net_rating,portal_count_in,portal_count_out,portal_net_count,portal_stars_in_avg,portal_qb_in,portal_qb_out
2021,Southern Illinois,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0
2021,Southern Miss,160.0,81.0,79.0,8.0,15.0,-7.0,3.0,1.0,1.0
2021,Southern Utah,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Southwest Minnesota State,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2021,St. Francis (PA),0.0,165.0,-165.0,0.0,2.0,-2.0,0.0,0.0,0.0
2021,Stanford,0.0,0.0,0.0,1.0,3.0,-2.0,4.0,0.0,0.0
2021,Stephen F. Austin,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
2021,Stony Brook,0.0,0.0,0.0,4.0,1.0,3.0,2.25,0.0,0.0
2021,Syracuse,80.0,80.0,0.0,3.0,16.0,-13.0,3.0,0.0,1.0
2021,TCU,424.0,495.0,-71.0,6.0,23.0,-17.0,3.1666666666666665,0.0,1.0
2021,Temple,324.0,576.0,-252.0,11.0,18.0,-7.0,2.6363636363636362,1.0,1.0
2021,Tennessee,416.0,1129.0,-713.0,10.0,37.0,-27.0,3.1,1.0,1.0
2021,Tennessee State,0.0,0.0,0.0,6.0,0.0,6.0,2.5,1.0,0.0
2021,Texas,333.0,677.0,-344.0,8.0,16.0,-8.0,3.125,0.0,0.0
2021,Texas A&M,86.0,493.0,-407.0,1.0,19.0,-18.0,3.0,0.0,1.0
2021,Texas State,162.0,0.0,162.0,19.0,15.0,4.0,2.526315789473684,1.0,1.0
2021,Texas Tech,498.0,249.0,249.0,11.0,16.0,-5.0,2.909090909090909,0.0,1.0
2021,Texas-Permian Basin,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
2021,The Citadel,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Tiffin University,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2021,Toledo,80.0,0.0,80.0,5.0,3.0,2.0,3.0,1.0,0.0
2021,Towson,0.0,0.0,0.0,6.0,0.0,6.0,2.0,1.0,0.0
2021,Troy,241.0,0.0,241.0,8.0,9.0,-1.0,2.0,1.0,1.0
2021,Tulane,0.0,0.0,0.0,5.0,11.0,-6.0,2.2,0.0,1.0
2021,Tulsa,81.0,170.0,-89.0,6.0,7.0,-1.0,3.0,0.0,0.0
2021,UAB,80.0,0.0,80.0,6.0,8.0,-2.0,3.0,0.0,0.0
2021,UAlbany,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0
2021,UCF,168.0,511.0,-343.0,10.0,17.0,-7.0,3.2,1.0,1.0
2021,UCLA,680.0,81.0,599.0,8.0,8.0,0.0,3.25,0.0,1.0
2021,UConn,0.0,0.0,0.0,2.0,7.0,-5.0,3.0,0.0,0.0
2021,UL Monroe,85.0,243.0,-158.0,15.0,21.0,-6.0,2.2666666666666666,1.0,1.0
