year,team,conference,fpi,resumeRanks,efficiencies
2015,Ohio,Mid-American,-4.216,"{'strengthOfRecord': 76, 'fpi': 88, 'averageWinProbability': 33, 'strengthOfSchedule': 112, 'remainingStrengthOfSchedule': None, 'gameControl': 64}","{'overall': 47.929, 'offense': 40.979, 'defense': 54.352, 'specialTeams': 55.728}"
2015,Kent State,Mid-American,-16.593,"{'strengthOfRecord': 113, 'fpi': 115, 'averageWinProbability': 102, 'strengthOfSchedule': 97, 'remainingStrengthOfSchedule': None, 'gameControl': 109}","{'overall': 22.445, 'offense': 8.294, 'defense': 53.788, 'specialTeams': 44.626}"
2015,Akron,Mid-American,-6.536,"{'strengthOfRecord': 74, 'fpi': 94, 'averageWinProbability': 46, 'strengthOfSchedule': 116, 'remainingStrengthOfSchedule': None, 'gameControl': 79}","{'overall': 44.49, 'offense': 32.631, 'defense': 59.128, 'specialTeams': 49.287}"
2015,Toledo,Mid-American,8.618,"{'strengthOfRecord': 30, 'fpi': 43, 'averageWinProbability': 9, 'strengthOfSchedule': 87, 'remainingStrengthOfSchedule': None, 'gameControl': 23}","{'overall': 65.784, 'offense': 57.272, 'defense': 67.47, 'specialTeams': 52.258}"
2015,UCLA,Pac-12,14.684,"{'strengthOfRecord': 39, 'fpi': 20, 'averageWinProbability': 42, 'strengthOfSchedule': 33, 'remainingStrengthOfSchedule': None, 'gameControl': 33}","{'overall': 65.824, 'offense': 66.695, 'defense': 64.184, 'specialTeams': 34.695}"
2015,Utah,Pac-12,13.42,"{'strengthOfRecord': 15, 'fpi': 27, 'averageWinProbability': 20, 'strengthOfSchedule': 29, 'remainingStrengthOfSchedule': None, 'gameControl': 13}","{'overall': 70.843, 'offense': 49.291, 'defense': 80.535, 'specialTeams': 58.004}"
2015,Arizona State,Pac-12,9.667,"{'strengthOfRecord': 51, 'fpi': 37, 'averageWinProbability': 48, 'strengthOfSchedule': 21, 'remainingStrengthOfSchedule': None, 'gameControl': 34}","{'overall': 59.913, 'offense': 59.564, 'defense': 54.063, 'specialTeams': 56.622}"
2015,Arizona,Pac-12,5.557,"{'strengthOfRecord': 50, 'fpi': 54, 'averageWinProbability': 73, 'strengthOfSchedule': 61, 'remainingStrengthOfSchedule': None, 'gameControl': 62}","{'overall': 50.809, 'offense': 65.609, 'defense': 35.466, 'specialTeams': 54.351}"
2015,Colorado,Pac-12,-0.74,"{'strengthOfRecord': 94, 'fpi': 82, 'averageWinProbability': 97, 'strengthOfSchedule': 55, 'remainingStrengthOfSchedule': None, 'gameControl': 87}","{'overall': 41.077, 'offense': 35.535, 'defense': 51.832, 'specialTeams': 46.501}"
2015,Middle Tennessee,Conference USA,0.7,"{'strengthOfRecord': 78, 'fpi': 78, 'averageWinProbability': 57, 'strengthOfSchedule': 91, 'remainingStrengthOfSchedule': None, 'gameControl': 73}","{'overall': 47.426, 'offense': 53.889, 'defense': 39.977, 'specialTeams': 55.538}"
2015,Florida Atlantic,Conference USA,-9.564,"{'strengthOfRecord': 117, 'fpi': 99, 'averageWinProbability': 78, 'strengthOfSchedule': 108, 'remainingStrengthOfSchedule': None, 'gameControl': 97}","{'overall': 30.238, 'offense': 20.665, 'defense': 48.071, 'specialTeams': 56.767}"
2015,Florida International,Conference USA,-10.626,"{'strengthOfRecord': 100, 'fpi': 102, 'averageWinProbability': 90, 'strengthOfSchedule': 115, 'remainingStrengthOfSchedule': None, 'gameControl': 106}","{'overall': 28.849, 'offense': 31.019, 'defense': 30.411, 'specialTeams': 64.617}"
2015,North Texas,Conference USA,-21.401,"{'strengthOfRecord': 122, 'fpi': 127, 'averageWinProbability': 127, 'strengthOfSchedule': 71, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 8.47, 'offense': 9.084, 'defense': 17.018, 'specialTeams': 57.838}"
2015,UTSA,Conference USA,-16.657,"{'strengthOfRecord': 119, 'fpi': 116, 'averageWinProbability': 106, 'strengthOfSchedule': 106, 'remainingStrengthOfSchedule': None, 'gameControl': 113}","{'overall': 23.954, 'offense': 23.571, 'defense': 35.864, 'specialTeams': 42.074}"
2015,Louisiana Tech,Conference USA,4.741,"{'strengthOfRecord': 57, 'fpi': 63, 'averageWinProbability': 29, 'strengthOfSchedule': 110, 'remainingStrengthOfSchedule': None, 'gameControl': 56}","{'overall': 58.015, 'offense': 62.26, 'defense': 56.364, 'specialTeams': 35.558}"
2015,Western Kentucky,Conference USA,12.178,"{'strengthOfRecord': 28, 'fpi': 31, 'averageWinProbability': 10, 'strengthOfSchedule': 95, 'remainingStrengthOfSchedule': None, 'gameControl': 29}","{'overall': 74.224, 'offense': 84.496, 'defense': 49.798, 'specialTeams': 55.099}"
2015,Temple,American Athletic,6.404,"{'strengthOfRecord': 44, 'fpi': 51, 'averageWinProbability': 53, 'strengthOfSchedule': 78, 'remainingStrengthOfSchedule': None, 'gameControl': 68}","{'overall': 58.021, 'offense': 42.186, 'defense': 69.261, 'specialTeams': 54.009}"
2015,South Florida,American Athletic,5.334,"{'strengthOfRecord': 61, 'fpi': 59, 'averageWinProbability': 32, 'strengthOfSchedule': 72, 'remainingStrengthOfSchedule': None, 'gameControl': 45}","{'overall': 58.975, 'offense': 54.92, 'defense': 62.4, 'specialTeams': 42.214}"
2015,Cincinnati,American Athletic,1.442,"{'strengthOfRecord': 68, 'fpi': 76, 'averageWinProbability': 72, 'strengthOfSchedule': 69, 'remainingStrengthOfSchedule': None, 'gameControl': 78}","{'overall': 47.143, 'offense': 58.471, 'defense': 39.178, 'specialTeams': 39.533}"
2015,East Carolina,American Athletic,-0.264,"{'strengthOfRecord': 89, 'fpi': 81, 'averageWinProbability': 68, 'strengthOfSchedule': 70, 'remainingStrengthOfSchedule': None, 'gameControl': 76}","{'overall': 48.13, 'offense': 48.522, 'defense': 45.148, 'specialTeams': 60.412}"
2015,UCF,American Athletic,-18.96,"{'strengthOfRecord': 127, 'fpi': 125, 'averageWinProbability': 125, 'strengthOfSchedule': 73, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 10.778, 'offense': 8.429, 'defense': 22.656, 'specialTeams': 60.227}"
2015,Houston,American Athletic,10.851,"{'strengthOfRecord': 13, 'fpi': 34, 'averageWinProbability': 7, 'strengthOfSchedule': 94, 'remainingStrengthOfSchedule': None, 'gameControl': 30}","{'overall': 69.598, 'offense': 63.204, 'defense': 66.318, 'specialTeams': 59.151}"
2015,Navy,American Athletic,8.44,"{'strengthOfRecord': 23, 'fpi': 44, 'averageWinProbability': 15, 'strengthOfSchedule': 81, 'remainingStrengthOfSchedule': None, 'gameControl': 21}","{'overall': 73.054, 'offense': 79.482, 'defense': 55.853, 'specialTeams': 48.659}"
2015,Memphis,American Athletic,7.745,"{'strengthOfRecord': 40, 'fpi': 46, 'averageWinProbability': 35, 'strengthOfSchedule': 67, 'remainingStrengthOfSchedule': None, 'gameControl': 42}","{'overall': 67.032, 'offense': 68.948, 'defense': 52.933, 'specialTeams': 65.836}"
2015,Tulsa,American Athletic,-5.262,"{'strengthOfRecord': 87, 'fpi': 91, 'averageWinProbability': 103, 'strengthOfSchedule': 80, 'remainingStrengthOfSchedule': None, 'gameControl': 108}","{'overall': 35.848, 'offense': 54.059, 'defense': 26.724, 'specialTeams': 40.492}"
2015,Tulane,American Athletic,-16.006,"{'strengthOfRecord': 108, 'fpi': 112, 'averageWinProbability': 104, 'strengthOfSchedule': 79, 'remainingStrengthOfSchedule': None, 'gameControl': 103}","{'overall': 21.712, 'offense': 20.658, 'defense': 39.231, 'specialTeams': 28.115}"
2015,SMU,American Athletic,-14.187,"{'strengthOfRecord': 109, 'fpi': 108, 'averageWinProbability': 115, 'strengthOfSchedule': 64, 'remainingStrengthOfSchedule': None, 'gameControl': 98}","{'overall': 22.242, 'offense': 40.73, 'defense': 17.083, 'specialTeams': 42.388}"
2015,Charlotte,Conference USA,-21.441,"{'strengthOfRecord': 125, 'fpi': 128, 'averageWinProbability': 111, 'strengthOfSchedule': 124, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 13.483, 'offense': 9.358, 'defense': 35.534, 'specialTeams': 39.103}"
2015,Louisiana,Sun Belt,-12.271,"{'strengthOfRecord': 112, 'fpi': 105, 'averageWinProbability': 114, 'strengthOfSchedule': 125, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 21.026, 'offense': 32.131, 'defense': 19.727, 'specialTeams': 51.252}"
2015,Arkansas State,Sun Belt,1.553,"{'strengthOfRecord': 60, 'fpi': 73, 'averageWinProbability': 37, 'strengthOfSchedule': 114, 'remainingStrengthOfSchedule': None, 'gameControl': 69}","{'overall': 53.484, 'offense': 42.189, 'defense': 60.107, 'specialTeams': 59.612}"
2015,UL Monroe,Sun Belt,-16.884,"{'strengthOfRecord': 123, 'fpi': 118, 'averageWinProbability': 123, 'strengthOfSchedule': 99, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 18.123, 'offense': 10.706, 'defense': 42.515, 'specialTeams': 37.906}"
2015,Troy,Sun Belt,-7.902,"{'strengthOfRecord': 105, 'fpi': 96, 'averageWinProbability': 86, 'strengthOfSchedule': 93, 'remainingStrengthOfSchedule': None, 'gameControl': 94}","{'overall': 37.725, 'offense': 32.212, 'defense': 44.475, 'specialTeams': 58.93}"
2015,South Alabama,Sun Belt,-16.826,"{'strengthOfRecord': 95, 'fpi': 117, 'averageWinProbability': 98, 'strengthOfSchedule': 92, 'remainingStrengthOfSchedule': None, 'gameControl': 105}","{'overall': 23.476, 'offense': 25.178, 'defense': 36.15, 'specialTeams': 33.265}"
2015,Texas State,Sun Belt,-15.094,"{'strengthOfRecord': 120, 'fpi': 110, 'averageWinProbability': 107, 'strengthOfSchedule': 105, 'remainingStrengthOfSchedule': None, 'gameControl': 110}","{'overall': 19.898, 'offense': 32.323, 'defense': 14.813, 'specialTeams': 67.889}"
2015,Georgia State,Sun Belt,-10.45,"{'strengthOfRecord': 98, 'fpi': 100, 'averageWinProbability': 79, 'strengthOfSchedule': 123, 'remainingStrengthOfSchedule': None, 'gameControl': 100}","{'overall': 32.64, 'offense': 38.573, 'defense': 38.967, 'specialTeams': 31.786}"
