game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
400763593,2015,1,UCF,American Athletic,Florida International,0.07,0.55,-0.48,0.23,0.35,0.11
400756904,2015,1,UCLA,Pac-12,Virginia,0.26,0.5,0.06,0.1,0.34,-0.09
400764854,2015,1,UConn,American Athletic,Villanova,0.19,0.57,0.04,0.08,0.14,0.01
400603831,2015,1,UL Monroe,Sun Belt,Georgia,0.12,0.33,-0.11,0.53,0.9,0.37
400787115,2015,1,UNLV,Mountain West,Northern Illinois,0.17,0.35,0.01,0.38,0.82,0.04
400756884,2015,1,USC,Pac-12,Arkansas State,0.34,0.37,0.3,-0.08,-0.15,-0.03
400756883,2015,1,Utah,Pac-12,Michigan,0.1,0.24,0.0,-0.02,0.08,-0.14
400787110,2015,1,Utah State,Mountain West,Southern Utah,-0.13,-0.19,-0.06,-0.23,-0.21,-0.3
400603828,2015,1,UTEP,Conference USA,Arkansas,0.1,0.48,-0.14,0.59,1.36,0.22
400756882,2015,1,UTSA,Conference USA,Arizona,0.18,0.39,0.04,0.18,0.35,0.01
400603839,2015,1,Vanderbilt,SEC,Western Kentucky,-0.05,-0.09,0.0,0.09,0.23,-0.12
400756904,2015,1,Virginia,ACC,UCLA,0.1,0.34,-0.09,0.26,0.5,0.06
400756905,2015,1,Virginia Tech,ACC,Ohio State,0.08,0.3,-0.09,0.6,0.74,0.53
400756896,2015,1,Wake Forest,ACC,Elon,0.4,0.57,0.25,-0.14,-0.11,-0.2
400756888,2015,1,Washington,Pac-12,Boise State,-0.15,0.0,-0.37,-0.08,0.11,-0.03
400756889,2015,1,Washington State,Pac-12,Portland State,0.23,0.3,0.19,0.23,-0.34,0.4
400603839,2015,1,Western Kentucky,Conference USA,Vanderbilt,0.09,0.23,-0.12,-0.05,-0.09,0.0
400763470,2015,1,Western Michigan,Mid-American,Michigan State,0.11,0.19,-0.06,0.3,0.47,0.15
400763407,2015,1,West Virginia,Big 12,Georgia Southern,0.27,0.53,0.17,-0.11,-0.43,-0.04
400603827,2015,1,Wisconsin,Big Ten,Alabama,0.04,0.2,-0.35,0.46,0.42,0.51
400787116,2015,1,Wyoming,Mountain West,North Dakota,0.1,0.24,-0.24,0.22,0.34,0.15
400787117,2015,2,Air Force,Mountain West,San José State,0.29,-0.18,0.35,0.14,-0.07,0.52
400756915,2015,2,Akron,Mid-American,Pittsburgh,-0.13,-0.22,-0.03,0.03,0.26,-0.1
400603860,2015,2,Alabama,SEC,Middle Tennessee,0.19,0.09,0.3,-0.11,0.1,-0.33
400756907,2015,2,App State,Sun Belt,Clemson,-0.21,-0.51,-0.02,0.18,0.32,0.05
400756892,2015,2,Arizona,Pac-12,Nevada,0.36,0.32,0.38,0.08,0.15,0.02
400756893,2015,2,Arizona State,Pac-12,Cal Poly,0.3,0.42,0.19,0.13,0.01,0.14
400603861,2015,2,Arkansas,SEC,Toledo,0.13,0.27,-0.09,0.16,0.26,0.06
400603862,2015,2,Arkansas State,Sun Belt,Missouri,-0.09,0.11,-0.21,0.04,0.06,0.03
400760492,2015,2,Army,FBS Independents,UConn,0.15,0.67,0.02,0.14,0.58,-0.1
