season,conference,team,offense,defense
2025,Big 12,Colorado,"{'overall': 0.08, 'passing': 0.16, 'rushing': 0.04, 'firstDown': -0.17, 'secondDown': 0.14, 'thirdDown': 0.51, 'cumulative': {'total': 66.8, 'passing': 60.93, 'rushing': 14.8}}","{'overall': 0.19, 'passing': 0.33, 'rushing': 0.13, 'firstDown': 0.08, 'secondDown': 0.18, 'thirdDown': 0.37, 'cumulative': {'total': 158.4, 'passing': 1068.6, 'rushing': 65.5}}"
2025,Mountain West,Colorado State,"{'overall': 0.12, 'passing': 0.2, 'rushing': 0.08, 'firstDown': -0.03, 'secondDown': 0.16, 'thirdDown': 0.37, 'cumulative': {'total': 93.1, 'passing': 83.06, 'rushing': 26.2}}","{'overall': 0.24, 'passing': 0.38, 'rushing': 0.17, 'firstDown': -0.01, 'secondDown': 0.31, 'thirdDown': 0.6, 'cumulative': {'total': 196.3, 'passing': 1262.2, 'rushing': 81.2}}"
2025,Conference USA,Delaware,"{'overall': 0.19, 'passing': 0.26, 'rushing': 0.08, 'firstDown': -0.01, 'secondDown': 0.24, 'thirdDown': 0.55, 'cumulative': {'total': 184.4, 'passing': 145.65, 'rushing': 30.5}}","{'overall': 0.21, 'passing': 0.29, 'rushing': 0.17, 'firstDown': -0.03, 'secondDown': 0.21, 'thirdDown': 0.54, 'cumulative': {'total': 182, 'passing': 1281.7, 'rushing': 70.3}}"
2025,ACC,Duke,"{'overall': 0.25, 'passing': 0.38, 'rushing': 0.09, 'firstDown': 0.02, 'secondDown': 0.21, 'thirdDown': 0.57, 'cumulative': {'total': 236.7, 'passing': 199.28, 'rushing': 40.6}}","{'overall': 0.22, 'passing': 0.39, 'rushing': 0.09, 'firstDown': 0.04, 'secondDown': 0.22, 'thirdDown': 0.71, 'cumulative': {'total': 214.8, 'passing': 1878.9, 'rushing': 43.7}}"
2025,American Athletic,East Carolina,"{'overall': 0.19, 'passing': 0.33, 'rushing': 0.1, 'firstDown': 0.07, 'secondDown': 0.17, 'thirdDown': 0.58, 'cumulative': {'total': 194.4, 'passing': 150.09, 'rushing': 56.9}}","{'overall': 0.05, 'passing': 0.15, 'rushing': -0.03, 'firstDown': -0.07, 'secondDown': 0.06, 'thirdDown': 0.26, 'cumulative': {'total': 44.7, 'passing': 714.7, 'rushing': -13.9}}"
2025,Mid-American,Eastern Michigan,"{'overall': 0.2, 'passing': 0.29, 'rushing': 0.13, 'firstDown': 0.05, 'secondDown': 0.13, 'thirdDown': 0.53, 'cumulative': {'total': 163.5, 'passing': 123.34, 'rushing': 51.4}}","{'overall': 0.25, 'passing': 0.35, 'rushing': 0.21, 'firstDown': 0.15, 'secondDown': 0.19, 'thirdDown': 0.6, 'cumulative': {'total': 209.2, 'passing': 1101.5, 'rushing': 104.9}}"
2025,SEC,Florida,"{'overall': 0.14, 'passing': 0.18, 'rushing': 0.13, 'firstDown': 0.04, 'secondDown': 0.2, 'thirdDown': 0.23, 'cumulative': {'total': 103.7, 'passing': 66.7, 'rushing': 48.1}}","{'overall': 0.17, 'passing': 0.29, 'rushing': 0.09, 'firstDown': 0.02, 'secondDown': 0.05, 'thirdDown': 0.64, 'cumulative': {'total': 135.9, 'passing': 984.5, 'rushing': 36.7}}"
2025,American Athletic,Florida Atlantic,"{'overall': 0.16, 'passing': 0.28, 'rushing': 0.05, 'firstDown': -0.09, 'secondDown': 0.09, 'thirdDown': 0.4, 'cumulative': {'total': 146.2, 'passing': 160.75, 'rushing': 14.8}}","{'overall': 0.22, 'passing': 0.26, 'rushing': 0.22, 'firstDown': 0.12, 'secondDown': 0.14, 'thirdDown': 0.65, 'cumulative': {'total': 191.2, 'passing': 970, 'rushing': 101.6}}"
2025,Conference USA,Florida International,"{'overall': 0.16, 'passing': 0.2, 'rushing': 0.16, 'firstDown': 0.04, 'secondDown': 0.16, 'thirdDown': 0.43, 'cumulative': {'total': 144.6, 'passing': 88.16, 'rushing': 72.4}}","{'overall': 0.15, 'passing': 0.21, 'rushing': 0.14, 'firstDown': 0.04, 'secondDown': 0.21, 'thirdDown': 0.45, 'cumulative': {'total': 137.8, 'passing': 1003.4, 'rushing': 57.3}}"
2025,ACC,Florida State,"{'overall': 0.3, 'passing': 0.35, 'rushing': 0.28, 'firstDown': 0.15, 'secondDown': 0.15, 'thirdDown': 0.87, 'cumulative': {'total': 253.8, 'passing': 124.57, 'rushing': 132.2}}","{'overall': 0.15, 'passing': 0.22, 'rushing': 0.1, 'firstDown': -0.06, 'secondDown': 0.18, 'thirdDown': 0.37, 'cumulative': {'total': 115.3, 'passing': 750.5, 'rushing': 40.7}}"
2025,Mountain West,Fresno State,"{'overall': 0.1, 'passing': 0.23, 'rushing': 0.04, 'firstDown': -0.04, 'secondDown': 0.2, 'thirdDown': 0.26, 'cumulative': {'total': 89.5, 'passing': 88.38, 'rushing': 18.9}}","{'overall': 0.08, 'passing': 0.14, 'rushing': 0.06, 'firstDown': -0.04, 'secondDown': 0.02, 'thirdDown': 0.38, 'cumulative': {'total': 68.7, 'passing': 543, 'rushing': 23.5}}"
2025,SEC,Georgia,"{'overall': 0.24, 'passing': 0.35, 'rushing': 0.15, 'firstDown': 0.03, 'secondDown': 0.25, 'thirdDown': 0.66, 'cumulative': {'total': 246.5, 'passing': 154.01, 'rushing': 81.4}}","{'overall': 0.09, 'passing': 0.22, 'rushing': -0.01, 'firstDown': 0.02, 'secondDown': 0.07, 'thirdDown': 0.31, 'cumulative': {'total': 79.7, 'passing': 1043.4, 'rushing': -3.6}}"
2025,Sun Belt,Georgia Southern,"{'overall': 0.2, 'passing': 0.26, 'rushing': 0.18, 'firstDown': 0.06, 'secondDown': 0.21, 'thirdDown': 0.58, 'cumulative': {'total': 180.6, 'passing': 118.59, 'rushing': 78.3}}","{'overall': 0.27, 'passing': 0.33, 'rushing': 0.27, 'firstDown': 0.13, 'secondDown': 0.27, 'thirdDown': 0.65, 'cumulative': {'total': 246, 'passing': 1352.9, 'rushing': 132.4}}"
2025,Sun Belt,Georgia State,"{'overall': 0.13, 'passing': 0.23, 'rushing': 0.06, 'firstDown': -0.01, 'secondDown': 0.17, 'thirdDown': 0.43, 'cumulative': {'total': 111.8, 'passing': 114.19, 'rushing': 20}}","{'overall': 0.28, 'passing': 0.42, 'rushing': 0.19, 'firstDown': 0.13, 'secondDown': 0.31, 'thirdDown': 0.56, 'cumulative': {'total': 232.9, 'passing': 1510.3, 'rushing': 90.9}}"
2025,ACC,Georgia Tech,"{'overall': 0.27, 'passing': 0.43, 'rushing': 0.19, 'firstDown': 0.2, 'secondDown': 0.19, 'thirdDown': 0.62, 'cumulative': {'total': 232.9, 'passing': 169.11, 'rushing': 82.8}}","{'overall': 0.19, 'passing': 0.28, 'rushing': 0.1, 'firstDown': 0.1, 'secondDown': 0.13, 'thirdDown': 0.47, 'cumulative': {'total': 164.7, 'passing': 1150.2, 'rushing': 43.9}}"
2025,Mountain West,Hawai'i,"{'overall': 0.17, 'passing': 0.28, 'rushing': 0.02, 'firstDown': -0.03, 'secondDown': 0.11, 'thirdDown': 0.55, 'cumulative': {'total': 153.4, 'passing': 156.85, 'rushing': 7.6}}","{'overall': 0.16, 'passing': 0.24, 'rushing': 0.1, 'firstDown': 0.05, 'secondDown': 0.24, 'thirdDown': 0.44, 'cumulative': {'total': 131.8, 'passing': 1001, 'rushing': 37}}"
2025,Big 12,Houston,"{'overall': 0.11, 'passing': 0.32, 'rushing': -0.03, 'firstDown': -0.01, 'secondDown': 0.07, 'thirdDown': 0.37, 'cumulative': {'total': 102.1, 'passing': 128.1, 'rushing': -15.8}}","{'overall': 0.11, 'passing': 0.22, 'rushing': 0.05, 'firstDown': -0.06, 'secondDown': 0.07, 'thirdDown': 0.39, 'cumulative': {'total': 92.5, 'passing': 910.2, 'rushing': 20.1}}"
