game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401520171,2023,1,Northwestern,Big Ten,Rutgers,-0.06,0.02,-0.11,0.1,0.31,-0.04
401525435,2023,1,Notre Dame,FBS Independents,Tennessee State,0.62,0.92,0.34,-0.28,-0.44,-0.19
401525434,2023,1,Notre Dame,FBS Independents,Navy,0.53,0.8,0.31,0.03,-0.54,0.14
401532395,2023,1,Ohio,Mid-American,Long Island University,0.12,0.44,0.03,-0.06,0.01,0.05
401532392,2023,1,Ohio,Mid-American,San Diego State,0.04,0.31,-0.02,0.2,0.48,-0.04
401520156,2023,1,Ohio State,Big Ten,Indiana,0.22,0.35,0.19,-0.08,-0.01,-0.13
401525822,2023,1,Oklahoma,Big 12,Arkansas State,0.56,0.83,0.38,-0.1,0.11,-0.35
401525823,2023,1,Oklahoma State,Big 12,Central Arkansas,0.19,0.25,0.18,0.31,0.4,0.16
401525467,2023,1,Old Dominion,Sun Belt,Virginia Tech,0.06,0.0,0.22,0.07,0.45,-0.18
401520168,2023,1,Ole Miss,SEC,Mercer,0.65,0.95,0.26,-0.18,0.0,-0.13
401523992,2023,1,Oregon,Pac-12,Portland State,0.81,0.73,0.91,-0.07,-0.03,-0.08
401532573,2023,1,Oregon State,Pac-12,San José State,0.53,0.68,0.41,0.03,0.0,0.09
401520169,2023,1,Penn State,Big Ten,West Virginia,0.36,0.66,0.17,0.22,-0.13,0.47
401525465,2023,1,Pittsburgh,ACC,Wofford,0.42,0.42,0.42,-0.15,0.06,-0.43
401520170,2023,1,Purdue,Big Ten,Fresno State,0.18,0.42,-0.05,0.31,0.64,-0.09
401525824,2023,1,Rice,American Athletic,Texas,0.06,0.65,-0.41,0.06,0.04,0.09
401520171,2023,1,Rutgers,Big Ten,Northwestern,0.1,0.31,-0.04,-0.06,0.02,-0.11
401520152,2023,1,Sam Houston,Conference USA,BYU,-0.14,-0.09,-0.01,0.01,-0.12,0.13
401532571,2023,1,San Diego State,Mountain West,Idaho State,0.17,0.06,0.28,0.03,0.03,0.22
401532392,2023,1,San Diego State,Mountain West,Ohio,0.2,0.48,-0.04,0.04,0.31,-0.02
401532573,2023,1,San José State,Mountain West,Oregon State,0.03,0.0,0.09,0.53,0.68,0.41
401523986,2023,1,San José State,Mountain West,USC,0.13,-0.06,0.45,0.52,0.61,0.42
401520172,2023,1,SMU,American Athletic,Louisiana Tech,0.17,0.32,0.03,-0.12,-0.13,-0.1
401531347,2023,1,South Alabama,Sun Belt,Tulane,0.09,0.18,0.16,0.36,1.76,-0.14
401520167,2023,1,South Carolina,SEC,North Carolina,-0.09,0.03,-0.36,0.28,0.65,-0.06
