year,team,rank,points
2017,Idaho State,234,8.17
2017,Bethune-Cookman,235,7.76
2017,Central Arkansas,236,7.63
2017,VMI,238,6.81
2017,Eastern Illinois,242,6.67
2017,Marist,243,6.67
2017,Elon,245,6.67
2017,San Diego,246,6.67
2017,Nicholls,249,6.67
2017,Sacred Heart,251,5.92
2017,Morehead State,252,5.81
2017,North Carolina A&T,256,2.97
2017,Gardner-Webb,257,1.97
