year,team,conference,division,ranking,rating
2025,Butler,Pioneer,,232,-37.0
2025,Eastern Illinois,Big South-OVC,,234,-37.1
2025,Georgetown,Patriot,,235,-38.6
2025,UAlbany,CAA,,236,-38.7
2025,Texas Southern,SWAC,West,237,-38.9
2025,Bryant,CAA,,238,-39.0
2025,Grambling,SWAC,West,239,-39.1
2025,Morgan State,MEAC,,240,-39.4
2025,Stonehill,NEC,,241,-39.5
2025,Bucknell,Patriot,,242,-39.9
2025,Alcorn State,SWAC,West,243,-40.2
2025,Wagner,NEC,,244,-40.4
2025,Robert Morris,NEC,,245,-41.8
2025,Howard,MEAC,,246,-41.9
2025,Houston Christian,Southland,,247,-42.6
2025,Tennessee State,Big South-OVC,,248,-42.7
2025,Samford,Southern,,249,-43.5
2025,Morehead State,Pioneer,,250,-43.8
2025,Fordham,Patriot,,251,-43.9
2025,Alabama A&M,SWAC,East,252,-44.5
2025,North Carolina A&T,CAA,,253,-46.1
2025,Northwestern State,Southland,,254,-46.2
2025,Florida A&M,SWAC,East,255,-46.3
2025,New Haven,NEC,,255,-46.3
2025,Norfolk State,MEAC,,257,-47.0
2025,Arkansas-Pine Bluff,SWAC,West,258,-47.7
2025,VMI,Southern,,259,-48.0
2025,St. Francis (PA),NEC,,260,-49.2
2025,Hampton,CAA,,261,-49.4
2025,Valparaiso,Pioneer,,262,-50.4
2025,Mississippi Valley State,SWAC,East,262,-50.4
2025,Southern,SWAC,West,264,-51.6
2025,Davidson,Pioneer,,265,-51.8
2025,Stetson,Pioneer,,266,-53.5
