year,team,conference,division,ranking,rating
2016,Arizona,Pac-12,South,83,-4.90379928728076
2016,Army,FBS Independents,,84,-5.23833283288768
2016,New Mexico,Mountain West,Mountain,85,-5.3497250531459
2016,Virginia,ACC,Coastal,86,-5.35803356528149
2016,Syracuse,ACC,Atlantic,87,-6.88623754801191
2016,Miami (OH),Mid-American,East,88,-7.07463989628732
2016,UTSA,Conference USA,West,89,-7.34721318830964
2016,Georgia Southern,Sun Belt,West,90,-7.81579865860589
2016,SMU,American Athletic,West,91,-8.33634219854246
2016,Eastern Michigan,Mid-American,West,92,-8.72409398985751
2016,Southern Miss,Conference USA,West,93,-8.77826627781831
2016,Central Michigan,Mid-American,West,94,-9.09453952526874
2016,Utah State,Mountain West,Mountain,95,-9.29726200658449
2016,Middle Tennessee,Conference USA,East,96,-9.3881597580781
2016,Louisiana,Sun Belt,East,97,-9.84118661985666
2016,South Alabama,Sun Belt,East,98,-10.0200896883735
2016,Illinois,Big Ten,West,99,-10.0826285377318
2016,Tulane,American Athletic,West,100,-10.3280185906873
2016,Kent State,Mid-American,East,101,-10.5037917058314
2016,Rutgers,Big Ten,East,102,-10.943587006571
2016,Hawai'i,Mountain West,West,103,-11.4425112541058
2016,Akron,Mid-American,East,104,-11.6409521720859
2016,Cincinnati,American Athletic,East,105,-11.684403612296
2016,Ball State,Mid-American,West,106,-12.2033638339111
2016,Purdue,Big Ten,West,107,-12.6826430411991
2016,Bowling Green,Mid-American,East,108,-12.7386297164621
2016,East Carolina,American Athletic,East,109,-13.1862205404302
2016,Nevada,Mountain West,West,110,-13.6989851585147
2016,Georgia State,Sun Belt,West,111,-14.6389784933595
2016,UNLV,Mountain West,West,112,-15.2844267126864
2016,Kansas,Big 12,,113,-15.6630652216379
2016,North Texas,Conference USA,West,114,-16.5075815249903
2016,Massachusetts,FBS Independents,,115,-17.0026154201823
2016,San José State,Mountain West,West,116,-17.2147176401644
2016,UConn,American Athletic,East,117,-17.4699291685785
2016,New Mexico State,Sun Belt,,118,-18.5960332199423
2016,Florida International,Conference USA,East,119,-19.1137193361212
2016,Charlotte,Conference USA,East,120,-19.6006376881824
2016,UL Monroe,Sun Belt,East,121,-19.6154685511281
2016,Marshall,Conference USA,East,122,-20.0244313143606
2016,Florida Atlantic,Conference USA,East,123,-20.0269984643843
2016,Fresno State,Mountain West,West,124,-20.5376723544043
2016,Rice,Conference USA,West,125,-20.6010344688383
2016,UTEP,Conference USA,West,126,-21.2956131028673
2016,Buffalo,Mid-American,East,127,-22.7968684591142
2016,Texas State,Sun Belt,East,128,-29.2318381303815
