year,team,rank,points
2015,Villanova,156,34.1
2015,William & Mary,157,33.75
2015,South Dakota State,158,33.71
2015,Florida A&M,159,32.93
2015,Furman,160,32.92
2015,Duquesne,161,32.39
2015,Delaware,162,32.38
2015,Illinois State,163,32.28
2015,East Tennessee State,164,31.28
2015,Alcorn State,165,30.6
2015,The Citadel,166,30.4
2015,Wofford,167,30.13
2015,Sam Houston,168,29.96
2015,Western Illinois,169,28.88
2015,Bethune-Cookman,170,26.73
2015,Coastal Carolina,171,26.71
2015,Dartmouth,172,26.36
2015,Colgate,173,26.17
2015,Rhode Island,174,25.89
2015,SE Louisiana,175,24.51
2015,Mercer,176,23.29
2015,Northwestern State,177,22.92
2015,North Dakota,178,22.25
2015,Eastern Washington,179,22.02
2015,Texas Southern,180,21.52
2015,Lehigh,182,21.25
2015,Youngstown State,183,21.21
2015,Central Arkansas,184,21.06
2015,Indiana State,185,19.63
2015,Tennessee Tech,186,19.23
2015,Prairie View A&M,187,18.14
2015,Presbyterian,188,16.93
2015,Gardner-Webb,189,16.8
2015,New Hampshire,190,16.61
2015,Kennesaw State,193,15.83
2015,Richmond,195,15.69
2015,St. Francis (PA),196,15.51
2015,Robert Morris,197,14.96
2015,Cornell,198,13.69
2015,Marist,199,13.67
2015,Northern Colorado,201,13.33
2015,Portland State,202,13.29
2015,Holy Cross,203,13.29
2015,Hampton,204,12.87
2015,Grand Valley State University,205,12.2
2015,Bucknell,207,11.95
2015,North Carolina Central,208,11.23
2015,Charleston Southern,209,11.13
2015,Elon,210,11.06
2015,Eastern Kentucky,211,11.01
2015,McNeese,213,10.93
2015,Valparaiso,214,10.32
2015,Missouri State,215,10.0
2015,Alabama State,216,9.97
2015,Jackson State,218,9.56
2015,Columbia,219,9.46
2015,Murray State,220,9.32
2015,Maine,223,8.86
2015,Idaho State,224,8.57
2015,Norfolk State,225,7.98
2015,Montana State,226,7.98
2015,Stony Brook,227,7.82
2015,Tennessee State,228,7.57
2015,Georgetown,229,6.92
2015,Butler,230,6.67
2015,Sacramento State,231,6.67
2015,Lamar,233,6.31
2015,Southern Utah,234,5.98
2015,Fordham,235,5.0
2015,Delaware State,236,4.98
2015,Mississippi Valley State,238,3.3
2015,Savannah St,263,0.0
2015,UAB,264,0.0
2015,Jacksonville,265,-0.03
2015,Morgan State,266,-0.03
2015,North Carolina A&T,267,-0.03
2015,UAlbany,268,-0.06
