game_id,season,week,home_team,away_team,provider,spread,formatted_spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401867865,2026,1,Murray State,Eastern Illinois,Draft Kings,-4.5,Murray State -4.5,,49.5,,,
401868060,2026,1,Austin Peay,Gardner-Webb,Draft Kings,-14.5,Austin Peay -14.5,,59.5,,,
401868240,2026,1,West Georgia,Chattanooga,Draft Kings,3.5,Chattanooga -3.5,,50.5,,,
401868315,2026,1,SE Louisiana,Houston Christian,Draft Kings,-24.5,SE Louisiana -24.5,,51.5,,,
401868070,2026,1,UT Martin,Central Arkansas,Draft Kings,-3.0,UT Martin -3,,50.5,,,
401868962,2026,1,Nicholls,Mississippi Valley State,Draft Kings,-28.5,Nicholls -28.5,,51.5,,,
401867874,2026,1,North Dakota,Long Island University,Draft Kings,-27.5,North Dakota -27.5,,44.5,,,
401874035,2026,1,West Florida,Southern Illinois,Draft Kings,19.5,Southern Illinois -19.5,,55.5,,,
401868169,2026,1,Lindenwood,Charleston Southern,Draft Kings,-7.5,Lindenwood -7.5,,45.5,,,
401866532,2026,1,Towson,Maine,Draft Kings,-2.5,Towson -2.5,,46.5,,,
401856662,2026,1,Mississippi State,UL Monroe,Bovada,-28.5,Mississippi State -28.5,-28.5,55.0,55.5,-100000.0,2000.0
401856662,2026,1,Mississippi State,UL Monroe,DraftKings,-28.5,Mississippi State -28.5,-28.5,54.5,,-6500.0,2000.0
401858428,2026,1,Michigan,Western Michigan,DraftKings,-27.5,Michigan -27.5,-26.5,48.5,,-5000.0,1800.0
401858428,2026,1,Michigan,Western Michigan,Bovada,-27.5,Michigan -27.5,-26.5,48.5,47.5,-7000.0,1300.0
401858430,2026,1,Nebraska,Ohio,DraftKings,-23.5,Nebraska -23.5,-23.5,46.5,,-3200.0,1400.0
401858430,2026,1,Nebraska,Ohio,Bovada,-24.0,Nebraska -24.0,-23.5,46.0,47.5,-2800.0,1100.0
401858433,2026,1,Oregon,Boise State,DraftKings,-24.5,Oregon -24.5,-24.5,51.5,,-4000.0,1600.0
401858433,2026,1,Oregon,Boise State,Bovada,-24.5,Oregon -24.5,-24.5,51.0,53.5,-3300.0,1100.0
401864432,2026,1,Nevada,Western Kentucky,Bovada,2.5,Western Kentucky -2.5,4.0,52.5,53.5,120.0,-140.0
401864432,2026,1,Nevada,Western Kentucky,DraftKings,2.5,Western Kentucky -2.5,4.5,51.5,,110.0,-130.0
401856661,2026,1,Ole Miss,Louisville,Bovada,-7.0,Ole Miss -7.0,-8.5,55.5,52.5,-270.0,220.0
401856661,2026,1,Ole Miss,Louisville,DraftKings,-7.0,Ole Miss -7,,55.5,,-265.0,215.0
401856634,2026,1,Alabama,East Carolina,DraftKings,-27.5,Alabama -27.5,-25.5,52.5,,-8000.0,2200.0
401856634,2026,1,Alabama,East Carolina,Bovada,-28.0,Alabama -28.0,-25.5,52.5,53.5,-10000.0,1600.0
401856636,2026,1,Auburn,Baylor,DraftKings,-7.5,Auburn -7.5,-6.5,57.5,,-298.0,240.0
401856636,2026,1,Auburn,Baylor,Bovada,-7.0,Auburn -7.0,-7.5,58.0,58.5,-270.0,220.0
401864498,2026,1,New Mexico,Central Michigan,Bovada,-10.0,New Mexico -10.0,-12.5,46.5,49.0,-575.0,400.0
