year,team,rank,points
2016,UNLV,81,142.78
2016,San Diego State,82,141.93
2016,New Mexico,83,141.76
2016,San José State,84,137.84
2016,Fresno State,85,137.22
2016,Massachusetts,86,136.04
2016,South Alabama,87,134.08
2016,Toledo,88,132.92
2016,Florida Atlantic,89,132.74
2016,Arkansas State,90,132.18
2016,Navy,91,132.07
2016,Utah State,92,130.65
2016,Miami (OH),93,129.79
2016,Louisiana Tech,94,128.91
2016,Tulsa,95,128.52
2016,Middle Tennessee,96,128.26
2016,Tulane,97,127.78
2016,Troy,98,127.73
2016,UConn,99,126.83
2016,Southern Miss,100,126.05
2016,Western Kentucky,101,124.1
2016,North Texas,102,122.36
2016,UTSA,103,120.32
2016,Florida International,104,119.8
2016,Nevada,105,118.76
2016,Louisiana,106,115.83
2016,Central Michigan,107,112.52
2016,Hawai'i,108,111.87
2016,App State,109,111.72
2016,Texas State,110,111.71
2016,Bowling Green,111,111.58
2016,Northern Illinois,112,111.4
2016,Ball State,113,110.91
2016,Air Force,114,110.9
2016,Ohio,115,109.82
2016,Wyoming,116,109.65
2016,Army,117,108.9
2016,Buffalo,118,107.51
2016,Charlotte,119,106.83
2016,Old Dominion,120,106.63
2016,Eastern Michigan,121,102.89
2016,Yale,122,102.29
2016,Idaho,123,101.42
2016,UL Monroe,124,99.51
2016,UTEP,125,99.39
2016,Coastal Carolina,126,97.11
2016,Georgia State,127,96.32
2016,New Mexico State,128,94.49
2016,Rice,129,93.86
2016,Columbia,130,90.67
2016,Kent State,131,82.77
2016,Akron,132,82.29
2016,Tennessee State,133,81.09
2016,Stephen F. Austin,134,79.35
2016,Lamar,135,79.32
2016,North Dakota State,136,77.25
2016,Montana,137,75.88
2016,Northern Arizona,138,75.01
2016,Harvard,139,74.84
2016,Sam Houston,140,69.3
2016,UC Davis,141,69.2
2016,Northern Iowa,142,68.3
2016,Austin Peay,144,67.88
2016,Eastern Washington,145,64.63
2016,Samford,146,64.62
2016,Florida A&M,147,63.31
2016,Central Arkansas,148,62.3
2016,South Dakota State,149,61.31
2016,Grand Valley State University,150,60.25
2016,Jacksonville State,151,58.06
2016,Richmond,152,57.89
2016,Northern Colorado,153,56.31
2016,Eastern Kentucky,154,56.1
2016,Bethune-Cookman,155,56.07
2016,James Madison,156,55.72
2016,Southeast Missouri State,157,55.17
2016,Pennsylvania,158,53.42
2016,South Dakota,159,49.75
2016,Tennessee Tech,160,49.02
2016,Weber State,161,48.18
2016,Western Carolina,162,47.73
2016,McNeese,163,46.78
2016,Wofford,164,46.72
2016,Montana State,165,46.61
2016,Youngstown State,166,46.34
2016,Portland State,167,46.18
2016,Rhode Island,168,46.14
2016,Idaho State,169,45.42
2016,Furman,170,45.22
2016,Murray State,171,42.71
2016,Dartmouth,172,42.51
2016,Princeton,173,42.21
2016,Nicholls,174,41.98
2016,SE Louisiana,175,40.99
2016,Indiana State,176,39.37
2016,Southern Utah,177,38.01
2016,Lehigh,178,37.73
2016,Towson,179,37.47
2016,Liberty,180,35.65
2016,Northwestern State,181,35.3
2016,Illinois State,182,34.92
2016,Chattanooga,183,34.03
2016,Delaware,184,32.74
2016,Jackson State,185,31.8
2016,Villanova,186,30.97
2016,Mercer,187,29.96
2016,Prairie View A&M,188,29.53
2016,Cal Poly,189,29.43
2016,Gardner-Webb,190,29.25
2016,William & Mary,191,27.71
2016,South Carolina State,192,27.65
2016,Missouri State,193,27.34
2016,Southern,194,26.44
2016,Alabama State,195,26.02
2016,Alcorn State,196,25.55
2016,Stony Brook,197,25.36
2016,UAlbany,198,25.3
2016,Eastern Illinois,199,25.15
2016,North Carolina Central,200,24.82
2016,Charleston Southern,201,24.29
2016,Savannah St,202,24.24
2016,North Dakota,203,21.96
2016,Robert Morris,204,21.06
2016,San Diego,205,20.91
2016,VMI,206,20.11
2016,Kennesaw State,207,20.0
2016,Georgetown,208,19.96
2016,Delaware State,209,19.92
2016,Bucknell,210,19.13
2016,Fordham,211,19.12
2016,Holy Cross,213,18.82
2016,Presbyterian,215,17.72
2016,Norfolk State,216,16.68
2016,Southern Illinois,217,16.63
2016,Hampton,218,15.61
2016,Elon,219,15.61
2016,Morehead State,220,15.51
2016,Colgate,221,15.51
2016,New Hampshire,222,14.63
2016,North Carolina A&T,223,14.61
2016,Lafayette,224,14.44
2016,Sacred Heart,231,12.5
2016,Cornell,232,12.21
2016,UT Martin,233,11.94
2016,Western Illinois,234,11.29
2016,Brown,236,10.69
2016,Houston Christian,239,9.95
2016,Monmouth,241,8.82
2016,Alabama A&M,242,8.42
2016,The Citadel,243,7.67
2016,Campbell,244,6.67
2016,Morgan State,246,6.67
2016,Texas Southern,248,6.67
2016,Central Connecticut,256,6.67
2016,Drake,259,5.31
2016,Wagner,261,0.0
2016,Howard,285,-0.03
2016,Maine,286,-0.11
