year,team,conference,division,ranking,rating
2015,Arkansas State,Sun Belt,East,83,-3.15024128903575
2015,Wake Forest,ACC,Atlantic,84,-3.54494589867856
2015,Middle Tennessee,Conference USA,East,85,-3.60973167960479
2015,Maryland,Big Ten,East,86,-3.95461345942925
2015,Colorado,Pac-12,South,87,-4.5949902555715
2015,Ohio,Mid-American,East,88,-4.86507735329353
2015,Tulsa,American Athletic,West,89,-5.32190731813605
2015,Akron,Mid-American,East,90,-5.4407312706067
2015,San José State,Mountain West,West,91,-6.88590260518055
2015,Rutgers,Big Ten,East,92,-7.84672391717348
2015,Colorado State,Mountain West,Mountain,93,-8.47068932406335
2015,Purdue,Big Ten,West,94,-9.21405461978897
2015,Nevada,Mountain West,West,95,-9.37736907078264
2015,Troy,Sun Belt,East,96,-9.9391564307653
2015,New Mexico,Mountain West,Mountain,97,-10.5363511658677
2015,Oregon State,Pac-12,North,98,-10.7554184469324
2015,Buffalo,Mid-American,East,99,-10.8193461916595
2015,Georgia State,Sun Belt,West,100,-10.971376793932
2015,Army,FBS Independents,,101,-11.5276817032575
2015,SMU,American Athletic,West,102,-13.1496548816416
2015,Florida International,Conference USA,East,103,-13.4754457953469
2015,Florida Atlantic,Conference USA,East,104,-14.4884586845841
2015,Massachusetts,Mid-American,East,105,-14.6908239913571
2015,Ball State,Mid-American,West,106,-14.8700240114331
2015,UNLV,Mountain West,West,107,-15.0128808001744
2015,South Alabama,Sun Belt,East,108,-17.5936825050804
2015,Kent State,Mid-American,East,109,-17.872908949112
2015,Fresno State,Mountain West,West,110,-17.8996166802403
2015,Rice,Conference USA,West,111,-18.0277448650865
2015,Idaho,Sun Belt,,112,-18.682904715597
2015,Kansas,Big 12,,113,-18.7707212367185
2015,Tulane,American Athletic,West,114,-18.8672995816173
2015,Louisiana,Sun Belt,East,115,-18.8805711531117
2015,Wyoming,Mountain West,Mountain,116,-18.8806784070446
2015,UTSA,Conference USA,West,117,-18.9049041962748
2015,Miami (OH),Mid-American,East,118,-19.2937745100585
2015,UCF,American Athletic,East,119,-20.9849858286616
2015,Old Dominion,Conference USA,East,120,-21.5699240868877
2015,Hawai'i,Mountain West,West,121,-21.6983654384448
2015,New Mexico State,Sun Belt,,122,-22.341279017984
2015,UTEP,Conference USA,West,123,-22.4398948824401
2015,Eastern Michigan,Mid-American,West,124,-22.5298684884197
2015,Texas State,Sun Belt,East,125,-22.7901647316669
2015,North Texas,Conference USA,West,126,-24.4337161271706
2015,UL Monroe,Sun Belt,East,127,-24.9852031405345
2015,Charlotte,Conference USA,East,128,-27.8780857886445
