season,team,conference,fpi,resumeranks,efficiencies
2026,James Madison,Sun Belt,-2.026,"{'strengthOfRecord': 0, 'fpi': 75, 'averageWinProbability': 0, 'strengthOfSchedule': 125, 'remainingStrengthOfSchedule': 122, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Washington State,Pac-12,-4.054,"{'strengthOfRecord': 0, 'fpi': 80, 'averageWinProbability': 0, 'strengthOfSchedule': 77, 'remainingStrengthOfSchedule': 76, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Wisconsin,Big Ten,4.818,"{'strengthOfRecord': 0, 'fpi': 45, 'averageWinProbability': 0, 'strengthOfSchedule': 41, 'remainingStrengthOfSchedule': 41, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Marshall,Sun Belt,-8.786,"{'strengthOfRecord': 0, 'fpi': 104, 'averageWinProbability': 0, 'strengthOfSchedule': 103, 'remainingStrengthOfSchedule': 101, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,West Virginia,Big 12,0.197,"{'strengthOfRecord': 0, 'fpi': 64, 'averageWinProbability': 0, 'strengthOfSchedule': 48, 'remainingStrengthOfSchedule': 49, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Louisiana,Sun Belt,-8.278,"{'strengthOfRecord': 0, 'fpi': 101, 'averageWinProbability': 0, 'strengthOfSchedule': 99, 'remainingStrengthOfSchedule': 96, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Coastal Carolina,Sun Belt,-12.093,"{'strengthOfRecord': 0, 'fpi': 116, 'averageWinProbability': 0, 'strengthOfSchedule': 123, 'remainingStrengthOfSchedule': 120, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Texas State,Pac-12,-4.26,"{'strengthOfRecord': 0, 'fpi': 81, 'averageWinProbability': 0, 'strengthOfSchedule': 69, 'remainingStrengthOfSchedule': 69, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Utah State,Pac-12,-6.707,"{'strengthOfRecord': 0, 'fpi': 92, 'averageWinProbability': 0, 'strengthOfSchedule': 74, 'remainingStrengthOfSchedule': 73, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Alabama,SEC,20.126,"{'strengthOfRecord': 0, 'fpi': 8, 'averageWinProbability': 0, 'strengthOfSchedule': 15, 'remainingStrengthOfSchedule': 16, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
