year,team,rank,points
2020,Western Illinois,188,23.72
2020,Hampton,190,22.89
2020,Stony Brook,192,22.7
2020,Grambling,193,22.25
2020,South Dakota State,194,22.07
2020,Fordham,195,21.45
2020,Samford,196,21.2
2020,Houston Christian,198,20.55
2020,Delaware,199,20.1
2020,VMI,200,20.05
2020,Bucknell,201,19.97
2020,Wofford,203,19.41
2020,Austin Peay,204,17.16
2020,Indiana State,208,16.73
2020,Arkansas-Pine Bluff,209,16.53
2020,Jacksonville State,210,16.49
2020,Cornell,211,15.89
2020,North Dakota,218,12.79
2020,North Carolina Central,219,12.65
2020,Alcorn State,220,12.65
2020,North Carolina A&T,225,11.52
2020,Campbell,228,10.98
2020,Richmond,229,9.98
2020,Southern Illinois,230,9.91
2020,Bryant,232,8.98
2020,Southeast Missouri State,233,8.97
2020,Texas Southern,236,8.97
2020,Lehigh,239,6.97
2020,Lafayette,240,6.97
2020,Marist,242,6.3
2020,Colgate,245,4.97
